#Dragset et al (2019). Genome-wide Phenotypic Profiling Identifies and Categorizes Genes Required for Mycobacterial Low Iron Fitness. Sci Rep. PMC6684656. Supp Table 1c														
#reference: mc2_155_tamu														
#File: wt_150Fe														
#File: wt_0Fe														
#File: FxbA_0Fe														
#File: MbtD_0Fe														
#File: MbtDFxbA_3Fe														
#Start	wt_150Fe	wt_0Fe	FxbA_0Fe	MbtD_0Fe	MbtDFxbA_3Fe	Region								
62	0	0	4	0	0	IG								
101	4	1	0	0	0	IG								
237	0	0	0	0	0	IG								
240	0	0	0	0	0	IG								
246	0	0	0	0	0	IG								
254	0	0	0	0	0	IG								
353	0	0	0	0	0	IG								
380	10	2	4	1	0	IG								
459	0	0	4	2	0	IG								
478	0	1	0	0	0	IG								
493	0	0	0	0	0	IG								
578	0	0	0	0	0	MSMEG_0001								
673	0	0	0	0	0	MSMEG_0001								
868	0	0	0	0	2	MSMEG_0001								
990	0	0	0	0	0	MSMEG_0001								
1215	0	0	0	0	0	MSMEG_0001								
1507	0	0	0	0	0	MSMEG_0001								
1654	0	0	0	0	0	MSMEG_0001								
1660	0	0	0	0	0	MSMEG_0001								
1720	6	1	4	1	3	MSMEG_0002								
1805	6	0	0	1	0	MSMEG_0002								
1985	0	0	3	0	0	MSMEG_0002								
2084	4	0	0	1	0	MSMEG_0002								
2181	10	7	29	28	1	MSMEG_0002								
2210	0	7	7	0	0	MSMEG_0002								
2240	13	0	14	1	0	MSMEG_0002								
2258	7	7	1	0	0	MSMEG_0002								
2270	8	2	0	0	2	MSMEG_0002								
2367	0	0	0	0	1	MSMEG_0002								
2417	0	0	2	0	0	MSMEG_0002								
2612	0	0	0	0	0	MSMEG_0002								
2756	0	0	0	0	0	MSMEG_0003								
2928	0	0	4	0	0	MSMEG_0003								
3026	0	0	0	2	0	MSMEG_0003								
3083	0	0	0	0	0	MSMEG_0003								
3140	0	0	0	0	0	MSMEG_0003								
3154	0	0	0	0	0	MSMEG_0003								
3269	0	0	1	0	0	MSMEG_0003								
3311	0	0	0	0	0	MSMEG_0003								
3333	7	1	11	1	0	MSMEG_0003								
3368	0	1	13	5	1	MSMEG_0003								
3548	3	0	0	0	0	MSMEG_0003								
4019	0	0	0	0	0	MSMEG_0004								
4318	5	0	0	0	0	MSMEG_0004								
4351	1	1	0	4	1	MSMEG_0004								
4442	0	0	0	0	0	IG								
4454	0	0	0	0	0	IG								
4471	2	2	0	1	2	IG								
4475	2	0	2	0	0	IG								
4491	0	0	0	0	0	IG								
4511	0	0	0	0	0	IG								
4521	0	0	0	0	0	IG								
4624	0	0	0	0	0	MSMEG_0005								
4687	0	0	0	0	0	MSMEG_0005								
4930	0	0	0	0	0	MSMEG_0005								
5020	0	0	0	0	0	MSMEG_0005								
5035	0	0	0	0	0	MSMEG_0005								
5038	0	0	0	0	0	MSMEG_0005								
5143	0	0	0	0	0	MSMEG_0005								
5347	0	0	0	0	0	MSMEG_0005								
5368	0	0	0	0	0	MSMEG_0005								
5479	6	1	3	4	0	MSMEG_0005								
5532	0	0	0	0	0	MSMEG_0005								
5581	0	0	0	6	0	MSMEG_0005								
5853	2	0	0	1	0	MSMEG_0005								
5877	0	1	0	9	0	MSMEG_0005								
5956	3	1	3	10	1	MSMEG_0005								
6126	0	0	0	0	0	MSMEG_0005								
6160	0	0	1	0	0	MSMEG_0005								
6295	10	3	13	4	0	MSMEG_0005								
6334	2	1	0	0	0	MSMEG_0005								
6408	3	0	0	0	0	MSMEG_0005								
6418	0	3	0	2	0	MSMEG_0005								
6570	0	0	0	0	0	MSMEG_0005								
6616	0	0	6	0	0	MSMEG_0005								
6656	0	0	0	0	0	MSMEG_0006								
6732	0	0	0	0	0	MSMEG_0006								
6741	0	0	0	0	0	MSMEG_0006								
6819	0	0	0	0	0	MSMEG_0006								
6828	0	0	0	0	0	MSMEG_0006								
6896	0	0	0	0	0	MSMEG_0006								
6900	0	0	0	0	0	MSMEG_0006								
6927	0	0	0	0	0	MSMEG_0006								
6969	0	0	0	0	0	MSMEG_0006								
7010	0	0	0	0	0	MSMEG_0006								
7035	0	0	0	0	0	MSMEG_0006								
7116	0	0	0	0	0	MSMEG_0006								
7190	0	0	0	0	0	MSMEG_0006								
7254	0	0	0	0	0	MSMEG_0006								
7272	0	0	0	0	0	MSMEG_0006								
7367	0	0	0	0	0	MSMEG_0006								
7380	0	0	0	0	0	MSMEG_0006								
7476	0	0	0	0	0	MSMEG_0006								
7644	0	0	0	0	0	MSMEG_0006								
7743	0	0	0	0	0	MSMEG_0006								
7785	0	0	0	0	0	MSMEG_0006								
8223	0	0	0	0	0	MSMEG_0006								
8250	0	0	0	0	0	MSMEG_0006								
8379	0	0	0	0	0	MSMEG_0006								
8394	0	0	0	0	0	MSMEG_0006								
8499	0	0	0	0	0	MSMEG_0006								
8514	0	0	0	0	0	MSMEG_0006								
8810	0	0	0	0	0	MSMEG_0006								
8814	0	0	0	0	0	MSMEG_0006								
8841	0	0	0	0	0	MSMEG_0006								
8868	0	0	0	0	0	MSMEG_0006								
8913	0	0	0	0	0	MSMEG_0006								
